Title,Article,Category
"BWF World Championships 2023: HS Prannoy suffers defeat in semifinal but claims bronze for India
","Prannoy lost against the world no.3 Kunlavut Vitidsarn of Thailand in three sets of 21-18, 13-21, 14-21 in the men's singles event.",
"World Athletics Championships 2023: When and where to watch Neeraj Chopra in Javelin Throw final?
",Neeraj Chopra topped the Group A chart by throwing his season-best throw to directly qualify for the finals of the World Athletics Championships 2023.,
"Can India's 18-year-old Grand Master Praggnanandhaa become second Vishwanathan Anand?
",Over 90% of people believe that the young Indian Grand Master can become India's next Vishwanathan Anand.,
"Sourav Ganguly avoids Tilak Varma and Sanju Samson in his 15-member squad for ICC World Cup 2023
",Sourav Ganguly picked Yuzvenra Chahal and Prasidh Krishna as backup bowling options in his India World Cup 2023 squad.,
"'There's still a long time' - Jos Buttler keeps World Cup doors open for Harry Brook
","""He's just the unfortunate one at the moment to not be in that squad at the moment,"" Buttler added.",
"England's Josh Tongue ruled out of New Zealand series due to injury, Chris Jordan named replacement
","After making an impressive impact in Tests, Josh Tongue was set to make his white-ball debut in the upcoming series against New Zealand.",
"'If the team needs you...' - ABD advocates Virat Kohli to change his batting position for WC
",AB de Villiers shares a piece of advice to Virat Kohli ahead of the upcoming Asia Cup and World Cup.,
"AFG vs PAK 3rd ODI: From Pitch report to records, all you need to know about R Premadasa Stadium
",AFG vs PAK 3rd ODI: Afghanistan and Pakistan look to prepare for Asia Cup 2023 at one of the venues of the tournament - R Premadasa Stadium. ,
"Badminton World Championships: When and where to watch HS Prannoy vs Kunlavut Vitidsarn?
",Badminton World Championships: India's HS Prannoy will lock horns against Thailand's Kunlavut Vitidsarn in the semifinal of the Badminton World Championships.,
"India TV Sports Wrap on August 26: Today's top 10 trending news stories
","India TV Sports Wrap on August 26: From Cricket to Badminton, here are all the top 10 trending sports news stories on August 26.",
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>","<p class=""dic"">India TV Sports Wrap on August 26: From Cricket to Badminton, here are all the top 10 trending sports news stories on August 26.</p>",Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>","<p class=""dic"">India TV Sports Wrap on August 26: From Cricket to Badminton, here are all the top 10 trending sports news stories on August 26.</p>",Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Asia Cup Cup 2023: 5 Things To Watch Out For,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Asia Cup 2023: 5 Players To Watch Out For,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",5 Indian Cricketers Who Didn't Take Yo-Yo Test Ahead Of Asia Cup 2023 | Check List,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Virat Kohli's Stats At Number 4 In ODIs,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Shreyas Iyer's Stats At Number 4 In ODIs,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>","Alur Stadium, Where Team India Practising For Asia Cup 2023",Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",10 Cricketers With Most ODI Runs In 100 Innings,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Top 10 Most Expensive Things Owned By Neeraj Chopra,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Players With Five ODI Hundreds In Few Innings,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",FIDE Chess World Cup Winners & Runner-Ups: List Players Name And Country,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Highest Individual Score By Wicketkeepers | History Made By Rahmanullah Gurbaz,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Indian Cricketer Kids And Their Ages,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Asia Cup 2023: India's Non Selected XI In Pics,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Asia Cup 2023: Indian Captain To Score Centuries In Asia Cup,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Most Consecutive Days As No.1 ODI Batter,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Athletes' Deaths Due To Cardiac Arrest,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Asia Cup 2023: Predicted Team India Playing XI vs Pakistan,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Top 10 Batsmen With Most Runs in Asia Cup Of All Time,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",Top 10: Bray Wyatt Matches In His Whole Wrestling Career,Sports
"<h3 class=""title""><a href=""https://www.indiatvnews.com/sports/other/india-tv-sports-wrap-on-august-26-todays-top-10-trending-news-stories-hs-prannoy-shubman-gill-durand-cup-east-bengal-2023-08-26-889000"" title=""India TV Sports Wrap on August 26: Today's top 10 trending news stories"">India TV Sports Wrap on August 26: Today's top 10 trending news stories</a>
</h3>",1984 To 2022; List Of All Asia Cup Winners,Sports
Hasn't Bowled Even 6 Overs Per Game: Ex-IND Opener On Hardik Pandya,"

















 Cricket Utkarsh Rathour  August 27, 2023 11:09 AM IST ",Sports
India vs Pakistan Asia Cup 2023 Promo Will Give You Goosebumps | Watch Video,"

















 Cricket India.com Sports Desk  August 27, 2023 10:43 AM IST ",Sports
"Not Dravid, Laxman And Kanitkar To Be Head Coaches For Team India In Asian Games 2023","

















 Cricket India.com Sports Desk  August 27, 2023 10:05 AM IST ",Sports
Messi Pulls Off Superb Goal Against New York Red Bulls On MLS Debut For Inter Miami | WATCH,"

















 Sports India.com Sports Desk  August 27, 2023 10:05 AM IST ",Sports
Babar Azam Opens Up On IND-PAK Rivalry Ahead Of Asia Cup 2023 Blockbuster Clash,"

















 Cricket India.com Sports Desk  August 27, 2023 8:51 AM IST ",Sports
"Highlights Inter Miami vs New York Red Bulls, MLS: Messi Scores On League Debut As Miami Win 2-0","

















 Sports India.com Sports Desk  August 27, 2023 8:10 AM IST ",Sports
Johnson Charles Receives Injury Scare During CPL Match Between SLK and TKR | WATCH,"

















 Cricket India.com Sports Desk  August 27, 2023 7:50 AM IST ",Sports
"Inter Miami vs New York Red Bulls LIVE Streaming, MLS: All You Need To Know","

















 Sports India.com Sports Desk  August 27, 2023 1:41 AM IST ",Sports
World C'ships 2023: India Punch Ticket To Maiden Men's 4x400m Relay Final With Asian Record,"

















 Sports Koushik Paul  August 26, 2023 11:42 PM IST ",Sports
"HIGHLIGHTS | PAK Vs AFG, 3rd ODI: Pakistan Complete 3-0 Series Whitewash, Top ODI Rankings","

















 Cricket India.com Sports Desk  August 26, 2023 11:19 PM IST ",Sports
"EPL: Manchester United Rally To Beat Nottingham Forest, Fulham Hold Arsenal","

















 Sports Associated Press  August 26, 2023 11:11 PM IST ",Sports
Prannoy Bags BWF World Championships Bronze After Going Down Against Vitidsarn,"

















 Sports Nikhil  August 26, 2023 10:45 PM IST ",Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,"

















 Cricket Koushik Paul  August 26, 2023 10:14 PM IST ",Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,"Tamil Box Office: Rajinikanth's Jailer Grosses Rs 582.65 Crore Worldwide, Rs 204 Crore From TN Alone",Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,"Kerala Box Office: King of Kotha Fails to Beat KGF 2 on Opening Day, But Can Dulquer Surpass Its Own Sita Ramam Worldwide?",Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,"Gadar 2 BOC Day 14: Sunny Brings 2nd Biggest Week in Hindi After Baahubali 2, Road to Rs 500 Crore Looks Clear",Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,"Alia Bhatt And Kriti Sanon Win Their First-Ever National Awards, Share The Best Actress Honour",Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,The Kashmir Files: Vivek Agnihotri Dedicates His National Award to 'Kashmiri Pandits And Victims of Terrorism' - Watch Video,Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,Internship Alert: Teaching Jobs To Apply For This Week,Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,"Miss India 2022 Sini Shetty Exudes Elegance in White Tube Bodycon Dress, Pics",Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,Thyroid Health: 7 Superfoods to Add in Your Daily Meal to Manage Hypothyroidism,Sports
Asia Cup 2023: Pakistan Make Major Changes In 17-Member Squad Ahead Of Nepal Opener,Rakul Preet Singh Exudes Panache in Red Saree And Glittery Blouse,Sports
